from_vtd10,to_vtd20,weight
120090009,12009000403,0.0003304618
120090009,12009000407,0.0359145982
120090010,12009000300,0.8369565217
120090010,12009000306,0.1630434783
120090011,12009000301,0.1864406780
120090011,12009000302,0.0169491525
120090011,12009000325,0.2395600399
120090011,12009000326,0.3197619940
120090011,12009000327,0.2033898305
120090011,12009000328,0.0338983051
120090012,12009000301,0.0000262261
120090012,12009000302,0.9872948052
120090012,12009000312,0.0123662758
120090012,12009000320,0.0002893480
120090012,12009000326,0.0000233448
120090013,12009000229,0.1000000000
120090013,12009000404,0.8000000000
120090013,12009000411,0.1000000000
120090014,12009000201,0.7318206838
120090014,12009000202,0.0031190753
120090014,12009000240,0.2650602410
120090015,12009000202,0.6994906213
120090015,12009000206,0.3005093787
120090016,12009000203,0.9999832799
120090016,12009000206,0.0000167201
120090017,12009000204,0.9999921189
120090017,12009000220,0.0000078811
120090018,12009000103,0.9537998747
120090018,12009000109,0.0462001253
120090019,12009000103,1.0000000000
120090020,12009000205,0.9920000000
120090020,12009000217,0.0080000000
120090021,12009000104,1.0000000000
120090022,12009000303,1.0000000000
120090023,12009000304,0.9847013113
120090023,12009000312,0.0152986887
120090024,12009000312,1.0000000000
120090025,12009000235,1.0000000000
120090026,12009000100,0.0129262689
120090026,12009000105,0.9742532183
120090026,12009000108,0.0128205128
120090027,12009000105,1.0000000000
120090028,12009000100,0.2000000000
120090028,12009000105,0.8000000000
120090029,12009000105,1.0000000000
120090030,12009000129,0.0030691244
120090030,12009000207,0.8460956034
120090030,12009000210,0.0008352722
120090030,12009000214,0.1500000000
120090031,12009000133,1.0000000000
120090032,12009000208,0.8543335395
120090032,12009000222,0.1456664605
120090033,12009000111,1.0000000000
120090034,12009000106,1.0000000000
120090035,12009000305,1.0000000000
120090036,12009000305,0.9887153195
120090036,12009000324,0.0112846805
120090037,12009000300,0.6029411765
120090037,12009000306,0.3970588235
120090038,12009000107,1.0000000000
120090039,12009000500,1.0000000000
120090040,12009000307,0.8380685809
120090040,12009000309,0.1619314191
120090041,12009000307,0.6666666667
120090041,12009000321,0.3333333333
120090042,12009000307,1.0000000000
120090043,12009000500,0.6522646304
120090043,12009000523,0.0091110310
120090043,12009000528,0.3386243386
120090044,12009000501,1.0000000000
120090045,12009000405,0.0270434257
120090045,12009000409,0.9729565743
120090046,12009000408,0.0134629676
120090046,12009000529,0.9865370324
120090047,12009000209,0.8049837618
120090047,12009000231,0.1950162382
120090048,12009000108,1.0000000000
120090049,12009000109,1.0000000000
120090050,12009000210,0.8801248693
120090050,12009000227,0.1198751307
120090051,12009000210,0.9977385135
120090051,12009000214,0.0022614865
120090052,12009000210,0.9090909091
120090052,12009000214,0.0909090909
120090053,12009000209,1.0000000000
120090054,12009000402,0.9814814815
120090054,12009000422,0.0185185185
120090055,12009000403,0.9722222222
120090055,12009000407,0.0277777778
120090056,12009000400,0.9990498065
120090056,12009000407,0.0009501935
120090057,12009000403,1.0000000000
120090058,12009000403,0.9731838843
120090058,12009000407,0.0148270196
120090058,12009000414,0.0119890960
120090059,12009000403,1.0000000000
120090060,12009000507,1.0000000000
120090061,12009000502,1.0000000000
120090062,12009000503,0.9016393443
120090062,12009000504,0.0491803279
120090062,12009000530,0.0491803279
120090063,12009000503,0.6666666667
120090063,12009000530,0.3333333333
120090064,12009000503,0.0194738319
120090064,12009000504,0.9799716540
120090064,12009000511,0.0005545141
120090065,12009000503,0.2313936160
120090065,12009000504,0.1164324710
120090065,12009000523,0.0095950893
120090065,12009000530,0.6425788238
120090066,12009000504,0.3333333333
120090066,12009000507,0.6666666667
120090067,12009000503,0.8000000000
120090067,12009000504,0.2000000000
120090068,12009000503,0.2000000000
120090068,12009000504,0.5488581238
120090068,12009000507,0.2511418762
120090069,12009000405,1.0000000000
120090070,12009000404,1.0000000000
120090071,12009000505,0.9999923852
120090071,12009000506,0.0000076148
120090072,12009000308,1.0000000000
120090073,12009000309,1.0000000000
120090074,12009000310,0.6095238095
120090074,12009000323,0.3904761905
120090075,12009000506,1.0000000000
