district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
32,181936,18164,163765,141449,11411,133,4180,208,1026,2245,1248,1811,15,1393,5990,13673,148513,13328,135169,118616,9245,85,3629,136,555,1031,896,967,22,1002,4597,10290
33,188493,32564,155962,113939,28075,150,5030,28,1410,3969,918,2261,172,1243,7294,32216,148795,23553,125271,95101,21042,120,3869,32,956,2016,764,1169,175,1059,5038,23234
34,180779,21438,159312,139488,12763,416,2218,71,191,2679,563,963,15,994,3178,15453,154484,15211,139252,124792,9317,362,1864,68,127,1594,541,592,11,915,2455,10926
35,175354,59338,115415,84089,16754,9,8888,91,1182,1626,869,1852,128,1007,10797,18487,133819,43032,90421,65540,13966,22,7311,99,774,919,664,1029,119,806,8384,14987
36,170511,37775,132738,93316,26459,132,8026,80,1017,2278,648,737,85,867,8780,28817,133193,27529,105646,76735,20372,118,5640,75,725,950,543,430,75,746,6075,21397
37,163423,46643,116777,88444,15088,351,7763,131,606,2034,582,1282,347,1273,9041,17458,134293,35065,99251,76227,12614,309,6567,122,362,1350,537,801,277,1118,7360,14233
38,169109,41334,127787,97028,19431,116,5317,189,861,2763,654,1439,32,806,6728,22247,136458,32114,104360,82139,15172,87,4087,76,431,1095,532,746,34,647,4826,16299
39,168454,39345,129052,88991,30620,200,5001,104,602,1662,743,1071,133,1082,6051,32411,128598,26015,102552,73052,22622,112,3959,114,369,922,587,700,91,793,4648,23633
40,173018,30760,142350,45224,87131,28,5687,401,959,1383,391,817,348,759,6505,88840,127653,20913,106790,38373,60765,21,4839,292,522,902,257,622,288,560,5457,61937
41,130957,34504,96478,26924,59173,288,6309,23,682,1690,195,706,435,916,7015,61298,99008,25621,73406,22446,42976,299,5163,24,597,713,171,551,407,893,5714,44094
42,170234,34611,135662,111137,12999,76,6124,47,684,1325,868,2280,105,1050,8385,14460,142011,26500,115511,96443,10316,79,4973,43,432,813,729,1546,84,890,6509,11255
43,159523,90772,68813,41328,16162,84,7171,77,887,1681,460,786,43,587,7978,17891,123857,68020,55858,35955,11798,68,5763,42,285,1014,386,453,50,508,6216,12853
44,145987,64442,81519,51753,15598,69,11093,366,468,892,394,887,52,517,11961,16541,116162,48595,67538,44314,12206,66,8868,295,385,452,374,580,57,480,9440,12721
45,163912,32859,131017,99923,12651,28,12225,75,1145,2494,516,1901,12,557,14132,15156,120045,23152,96866,75856,9919,38,8545,66,411,649,414,957,0,454,9508,10567
46,155469,90137,65346,32398,24323,128,4655,69,1239,1455,436,559,106,670,5225,25874,114325,63914,50423,27056,16936,108,3906,73,574,911,336,459,98,543,4368,17945
47,167662,99400,68739,46919,13800,25,4476,71,960,1320,754,484,5,784,4938,15143,126502,73259,53573,37286,10667,35,3578,43,503,630,583,258,4,621,3826,11312
48,179515,48169,131517,92954,32040,228,1920,180,618,1967,792,464,212,1210,2380,34215,142842,34376,108631,80266,23805,203,1797,97,546,708,636,343,212,1030,2137,24726
49,175977,40366,135427,107511,20821,106,2713,31,645,1361,1002,1191,183,1309,3910,22344,130299,25061,105120,85378,15010,125,2251,46,431,500,688,500,179,1011,2761,15690
